,X1,X2,y
307,-5.48,6.76,1
308,-7.36,1.08,1
309,-5.58,2.32,1
310,-2.72,1.81,0
311,-0.69,-18.61,1
312,-2.23,3.07,0
313,-21.18,8.86,1
314,16.64,6.04,1
315,-13.69,-1.17,1
316,-4.45,6.23,1
317,-14.92,5.11,1
318,-4.26,3.19,0
319,-3.01,2.18,0
320,-19.59,2.41,0
321,-5.66,4.93,1
322,-5.16,3.12,1
323,3.93,0.07,0
324,-0.37,4.04,1
325,6.7,-4.1,1
326,-8.18,-3.23,0
327,-5.86,-19.0,1
328,-4.44,2.63,0
329,-7.02,4.49,1
330,-6.06,6.21,1
331,14.47,-8.46,1
332,10.55,-4.03,0
333,-12.38,1.1,0
334,-4.0,2.04,0
335,-3.4,5.6,1
336,-5.89,-9.21,1
337,1.33,3.87,1
338,6.45,9.19,1
339,-4.55,0.47,0
340,-3.72,1.38,0
341,-0.83,-4.48,0
342,-7.45,5.1,1
343,6.88,7.19,1
344,-4.26,1.71,0
345,-3.97,6.83,1
346,-5.61,-0.64,1
347,6.06,8.92,1
348,-15.82,-1.14,1
349,-7.23,-5.98,0
350,3.46,-0.04,0
351,-15.81,-7.45,0
352,-6.64,1.76,1
353,10.16,-12.01,1
354,-3.37,1.93,0
355,3.22,-11.36,0
356,0.45,7.02,0
357,-2.87,1.55,0
358,-3.09,2.32,0
359,-3.18,2.21,0
360,-9.51,-9.42,1
361,10.95,-13.59,1
362,-6.49,8.15,0
363,-3.18,2.75,0
364,-8.69,17.07,0
365,-12.05,11.67,1
366,-2.98,2.36,0
367,-2.04,2.99,0
368,-3.92,2.36,0
369,3.41,5.77,0
370,-3.55,1.94,0
371,4.21,-2.95,0
372,-3.18,3.44,0
373,-2.08,6.54,1
374,-12.27,9.71,1
375,-7.88,8.31,0
376,8.65,19.64,1
377,4.32,-0.39,0
378,-4.56,1.99,0
379,-8.56,-3.48,0
380,-18.51,7.41,0
381,-3.19,2.19,0
382,5.1,-0.53,0
383,-11.51,-5.24,1
384,-5.96,-2.03,1
385,-6.28,-0.76,1
386,-3.31,2.24,0
387,16.89,-6.55,1
388,-10.27,22.12,1
389,-3.01,1.68,0
390,4.09,-0.18,0
391,-5.16,1.01,0
392,2.0,-12.4,0
393,-1.92,8.7,0
394,7.81,7.57,1
395,3.02,-3.74,0
396,-6.67,5.52,1
397,-2.62,4.07,1
398,-5.91,19.97,0
399,-3.22,2.55,0
400,-6.62,17.08,0
401,-3.15,1.95,0
402,2.28,23.32,1
403,5.22,-1.08,0
404,0.27,2.1,1
405,-4.25,7.3,1
406,1.41,14.56,1
407,4.97,7.43,0
408,-1.06,-1.54,1
409,-0.3,-14.08,0
410,8.51,6.24,1
411,-19.29,4.06,0
412,15.37,1.15,1
413,1.99,0.18,1
414,-12.37,1.51,0
415,-4.14,-2.28,1
416,0.39,2.93,1
417,-2.5,5.43,1
418,16.9,3.87,1
419,-3.06,1.9,0
420,-2.17,-6.15,0
421,-3.79,2.44,0
422,5.97,20.2,1
423,-3.89,0.44,0
424,-3.32,2.68,0
425,-3.25,2.19,0
426,-0.93,2.9,1
427,-4.61,-0.97,1
428,-11.24,0.34,0
429,-4.4,3.08,0
430,-2.92,3.28,0
431,-3.41,2.18,0
432,-3.54,3.5,0
433,1.36,0.56,1
434,8.6,5.93,1
435,-5.8,-3.52,0
436,-3.52,-1.91,1
437,9.33,-2.79,1
438,-2.7,5.18,1
439,-20.27,2.98,0
440,-3.5,2.09,0
441,11.88,8.22,0
442,-4.57,2.14,0
443,4.07,-9.6,1
444,-1.0,0.94,1
445,-4.85,-5.44,0
446,16.14,-6.52,1
447,13.49,-2.82,0
448,-0.79,-0.07,1
449,13.0,-4.8,0
450,16.91,-3.12,1
451,-2.25,-0.22,1
452,-0.59,0.16,1
453,-1.83,10.86,0
454,-2.45,2.46,0
455,-2.41,1.36,0
456,-7.5,-2.71,0
457,3.86,19.13,1
458,-6.33,8.42,0
459,-4.55,2.05,0
460,14.32,-9.8,1
461,-5.94,9.77,0
462,-3.13,2.36,0
463,-9.65,5.09,0
464,-0.73,3.34,1
465,3.99,10.66,1
466,-2.17,2.48,0
467,-12.85,0.79,1
468,0.55,1.2,1
469,-14.55,7.76,1
470,4.43,-0.56,0
471,-3.51,-6.66,0
472,5.71,-16.67,1
473,-6.76,-18.17,1
474,-2.9,2.29,0
475,-7.66,3.48,1
476,6.59,-15.35,1
477,-3.06,3.01,0
478,10.58,3.04,1
479,-5.07,5.04,1
480,5.1,-6.51,1
481,-3.7,1.89,0
482,-0.2,4.25,1
483,2.02,22.41,1
484,-5.41,8.76,0
485,-9.13,2.73,1
486,-1.87,-6.12,0
487,-1.29,5.34,1
488,-10.88,18.23,1
489,-13.63,-3.1,1
490,4.33,20.27,1
491,-9.78,-1.67,0
492,-12.93,-10.73,0
493,4.41,17.43,0
494,-6.48,2.28,1
495,-3.05,2.21,0
496,-3.4,1.88,0
497,2.09,3.36,1
498,-3.99,2.51,0
499,-0.41,13.4,1
500,-6.52,2.31,1
501,-0.36,9.77,0
502,-4.17,2.14,0
503,-5.78,-0.58,1
504,-6.18,11.96,0
505,-2.96,1.11,0
506,-7.48,1.76,1
507,13.06,-2.8,0
508,16.12,10.65,1
509,4.69,9.08,1
510,-3.14,2.43,0
511,-6.62,6.52,1
512,-8.07,-10.83,1
513,-6.57,-3.1,0
514,0.75,9.54,0
515,-2.08,17.33,0
516,-9.21,-3.5,0
517,0.31,13.99,1
518,-24.17,-6.81,1
519,5.96,9.15,1
520,-4.21,5.1,1
521,-2.33,2.09,0
522,-2.66,1.7,0
523,-3.11,1.88,0
524,-19.08,9.01,0
525,0.4,2.13,1
526,-3.85,-5.47,0
527,-3.7,-4.73,0
528,-10.24,1.88,0
529,-2.06,2.15,0
530,-1.51,1.95,0
531,-13.94,-14.17,1
532,1.5,9.19,0
533,-2.42,-1.3,1
534,-7.3,-4.41,0
535,-3.52,4.09,0
536,-2.33,3.83,0
537,-0.62,5.15,1
538,-4.04,2.9,0
539,-4.12,1.45,0
540,-15.27,8.31,1
541,0.41,7.98,0
542,-1.83,0.11,1
543,-0.45,17.07,0
544,-3.34,-0.97,1
545,-9.17,5.64,0
546,-11.56,3.05,0
547,2.11,2.34,1
548,1.0,3.69,1
549,-4.6,-1.76,1
550,-4.46,-1.43,1
551,-2.73,1.75,0
552,1.75,12.67,1
553,-1.98,3.12,0
554,-12.07,2.96,0
555,-14.39,-1.36,1
556,2.09,9.45,0
557,-5.26,2.13,0
558,-24.13,5.02,1
559,-3.33,3.37,0
560,-3.96,2.08,0
561,-7.71,8.98,0
562,-4.01,6.11,1
563,-4.95,21.75,1
564,-8.02,8.41,0
565,-1.32,2.83,1
566,-4.43,2.13,0
567,-0.71,17.44,0
568,2.7,8.53,0
569,-7.15,3.43,1
570,-2.53,1.24,0
571,-2.65,7.05,1
572,-2.4,1.65,0
573,-0.42,2.62,1
574,-1.98,1.04,0
575,3.0,16.63,0
576,1.69,-4.2,0
577,-15.35,5.39,1
578,-4.02,1.0,0
579,3.85,3.85,0
580,7.77,-9.7,0
581,-3.08,2.2,0
582,7.94,7.23,1
583,-10.05,4.65,0
584,6.85,16.64,0
585,-9.28,-2.98,0
586,-9.44,7.48,0
587,-2.08,5.15,1
588,-6.22,-4.94,0
589,-14.61,8.28,1
590,-3.6,1.44,0
591,-14.57,2.29,1
592,-10.99,2.13,0
593,-0.31,-4.15,0
594,-7.44,-1.74,1
595,-3.49,2.0,0
596,-0.34,5.78,1
597,-2.91,22.49,1
598,-4.18,1.65,0
599,-20.1,-0.89,0
600,-6.27,3.7,1
601,-17.31,-5.32,0
602,5.97,2.91,0
603,-3.16,2.16,0
604,2.22,7.28,0
605,0.57,-8.78,1
606,-11.19,-0.8,0
607,-22.49,11.23,1
608,-1.41,0.06,1
609,-3.49,0.33,0
610,-2.44,2.63,0
611,-2.41,-2.45,1
612,0.53,-18.01,1
613,-5.41,-9.51,1
614,-2.81,2.18,0
615,-7.51,5.91,1
616,9.33,-0.59,1
617,-2.99,-0.69,1
618,-1.53,12.76,1
619,-8.84,16.03,0
620,-2.98,2.79,0
621,-15.86,-1.31,1
622,0.15,-1.28,1
623,-0.34,9.44,0
624,0.94,11.85,1
625,-3.9,2.86,0
626,-4.04,2.5,0
627,-12.98,-4.7,1
628,-9.62,-1.25,0
629,-2.98,2.46,0
630,-13.51,15.47,0
631,12.47,4.58,0
632,-2.88,2.37,0
633,-9.47,3.73,0
634,-6.0,-0.83,1
635,-2.13,-14.05,0
636,-13.62,-7.23,1
637,-7.46,-3.84,0
638,7.55,-1.74,1
639,-10.03,-11.43,0
640,-6.04,10.12,0
641,3.26,-6.3,1
642,-13.01,-4.28,1
643,-11.35,10.74,1
644,-3.01,2.18,0
645,3.52,11.08,1
646,3.84,2.07,0
647,-3.0,-9.72,1
648,-3.32,1.96,0
649,-0.99,0.26,1
650,-23.47,1.1,1
651,-14.56,16.72,1
652,-0.05,1.86,1
653,-1.61,3.29,1
654,-3.48,-1.13,1
655,-24.42,1.41,1
656,1.0,-0.63,1
657,-3.22,2.18,0
658,-15.36,-7.91,0
659,-0.47,-0.03,1
660,-13.83,-2.73,1
661,-2.56,5.67,1
662,-3.29,2.83,0
663,-5.63,-3.13,1
664,-10.92,4.9,0
665,-2.48,2.21,0
666,-5.01,8.74,0
667,-3.58,10.29,0
668,-0.45,-1.11,1
669,-7.47,9.07,0
670,-10.18,4.43,0
671,-4.36,-1.17,1
672,11.55,-5.25,0
673,4.42,-0.44,0
674,-4.95,-14.57,0
675,-3.31,2.09,0
676,4.3,22.51,1
677,-5.3,-10.58,1
678,-9.39,-9.3,1
679,-1.87,2.92,0
680,-3.84,1.89,0
681,-4.05,10.42,0
682,-10.95,-10.65,0
683,-2.33,2.52,0
684,-2.72,3.06,0
685,-2.74,6.19,1
686,4.93,0.43,0
687,-2.37,2.81,0
688,-3.11,2.7,0
689,-13.22,-0.82,1
690,-6.43,-14.62,0
691,12.07,8.6,0
692,-2.69,2.83,0
693,-9.67,16.36,0
694,-4.75,3.24,1
695,-3.43,2.07,0
696,-7.39,9.81,0
697,-1.78,-1.34,1
698,-9.71,-3.45,0
699,4.86,10.27,1
700,-5.37,1.71,1
701,-22.76,-0.6,1
702,-11.01,-9.32,0
703,-6.02,-5.67,0
704,1.48,-3.78,0
705,-3.55,3.84,0
706,-17.39,-10.82,1
707,-3.24,2.23,0
708,-4.14,2.29,0
709,-1.17,-4.66,0
710,-3.19,2.34,0
711,-2.34,0.04,1
712,0.37,6.05,1
713,-2.77,2.82,0
714,-2.87,-10.19,1
715,-10.35,5.55,0
716,-8.37,2.6,1
717,-19.11,3.68,0
718,-2.95,2.24,0
719,-11.01,2.22,0
720,6.45,8.71,1
721,-12.62,-7.98,1
722,-11.2,3.93,0
723,-0.01,-0.62,1
724,-1.14,-0.04,1
725,-9.55,-16.62,1
726,4.88,17.68,0
727,-2.19,0.7,0
728,-2.89,2.25,0
729,-0.84,6.61,1
730,-11.29,0.44,0
731,1.13,17.48,0
732,7.15,-2.74,1
733,-3.08,2.57,0
734,-10.47,4.26,0
735,-4.44,3.37,0
736,-3.19,1.24,0
737,-10.23,6.19,0
738,4.72,-6.97,1
739,8.71,-0.54,1
740,-10.08,17.16,0
741,-3.34,2.09,0
742,-4.68,3.29,1
743,-10.74,-17.51,1
744,-6.29,-0.03,1
745,1.64,-2.22,1
746,2.02,-1.71,1
747,9.48,6.92,0
748,-5.25,3.66,1
749,-3.74,2.41,0
750,-2.85,2.29,0
751,-8.67,9.01,0
752,0.75,2.02,1
753,-2.73,2.46,0
754,-4.62,0.55,1
755,11.43,-2.24,0
756,-4.03,1.66,0
757,-4.86,-13.82,0
758,-4.78,5.98,1
759,-4.59,-9.18,1
760,1.17,0.34,1
761,5.18,2.64,0
762,-3.53,0.94,0
763,-4.33,2.13,0
764,-1.29,-7.94,1
765,-5.91,-0.61,1
766,2.09,-3.09,0
767,-2.49,11.38,0
768,-1.25,-9.15,1
769,-4.35,2.08,0
770,-6.76,-9.66,1
771,-6.16,18.1,0
772,-3.95,2.81,0
773,-0.04,1.62,1
774,14.24,12.09,1
775,-2.52,1.72,0
776,-8.38,-4.21,0
777,-5.27,8.92,0
778,-0.38,5.07,1
779,17.26,-4.68,1
780,-3.18,2.58,0
781,-0.95,5.24,1
782,8.26,1.79,1
783,-8.96,-19.14,1
784,5.96,10.46,1
785,-2.94,3.58,0
786,-2.12,5.03,1
787,12.69,-11.56,1
788,-3.5,-5.54,0
789,-10.53,-4.02,0
790,1.69,-3.83,0
791,0.5,0.74,1
792,-12.93,-4.9,1
793,-9.71,-2.13,0
794,-14.05,7.25,1
795,-16.2,-6.0,0
796,2.99,-2.3,0
797,-6.74,7.34,0
798,-4.81,-0.07,1
799,2.74,-8.42,1
800,-4.81,-6.29,0
801,-3.11,1.81,0
802,-8.83,14.38,1
803,-3.45,2.26,0
804,3.53,-2.86,0
805,-9.76,6.14,0
806,-3.05,1.06,0
807,-2.88,10.24,0
808,16.97,6.69,1
809,-3.55,2.24,0
810,-2.66,2.29,0
811,-6.81,4.01,1
812,-8.53,-13.11,0
813,-6.21,12.18,1
814,-2.15,10.13,0
815,-0.02,-15.18,0
816,-4.35,2.15,0
817,-3.17,2.45,0
818,-3.21,1.65,0
819,-11.85,19.9,1
820,-2.5,2.98,0
821,7.21,6.06,1
822,0.31,1.24,1
823,4.34,7.3,0
824,-11.29,13.04,0
825,-3.7,0.62,0
826,4.01,0.43,0
827,-1.17,-1.9,1
828,4.55,6.36,0
829,-11.18,16.67,0
830,-2.54,1.28,0
831,-2.56,1.94,0
832,-15.33,0.68,1
833,8.33,-14.55,1
834,-7.34,13.53,1
835,-2.34,-0.56,1
836,12.83,-2.28,0
837,-18.39,13.97,1
838,4.61,3.08,0
839,-2.83,2.1,0
840,-2.72,1.92,0
841,-2.52,2.4,0
842,4.04,6.7,0
843,-0.81,17.48,0
844,-3.4,3.3,0
845,-3.77,5.61,1
846,-9.16,-1.79,0
847,-5.61,4.74,1
848,2.92,-0.28,0
849,-0.37,-2.89,1
850,-3.54,1.8,0
851,1.27,2.48,1
852,-3.23,2.35,0
853,-15.03,1.63,1
854,4.57,0.92,0
855,-6.39,3.02,1
856,-16.78,-7.22,0
857,-10.38,-3.5,0
858,-9.09,6.45,0
859,2.29,-16.94,1
860,-3.68,-1.4,1
861,2.85,-10.53,1
862,-15.53,-11.79,0
863,-0.59,-1.05,1
864,7.32,4.52,1
865,-3.2,2.04,0
866,-1.78,-10.14,1
867,-0.68,4.43,1
868,-0.28,-10.67,1
869,5.6,6.24,0
870,-2.62,0.62,0
871,-5.33,-8.95,1
872,-4.54,-0.05,1
873,-7.52,0.97,1
874,-12.45,20.48,1
875,-0.71,-0.02,1
876,-3.23,2.92,0
877,-6.94,0.48,1
878,2.88,17.88,0
879,-6.89,11.02,0
880,-4.54,7.02,1
881,-6.55,1.81,1
882,-17.98,-0.16,0
883,5.33,3.92,0
884,-16.73,-2.78,1
885,0.76,2.74,1
886,-18.61,7.73,0
887,-3.13,0.07,0
888,-10.64,4.79,0
889,-2.64,3.4,0
890,-3.35,2.02,0
891,-3.18,2.17,0
892,-0.95,0.55,1
893,-0.01,5.23,1
894,10.73,10.32,0
895,-7.81,9.41,0
896,-1.26,-9.98,1
897,-7.35,-0.4,1
898,-3.65,1.81,0
899,-8.04,1.68,1
900,-5.29,-3.09,1
901,-6.8,3.32,1
902,-6.91,0.0,1
903,-6.74,2.71,1
904,-21.36,-6.56,1
905,-8.48,13.83,1
906,-9.14,-13.22,0
907,-1.19,6.64,1
908,9.64,1.86,1
909,-5.16,5.98,1
910,5.57,-10.94,0
911,-14.15,7.13,1
912,-5.43,-1.26,1
913,-3.11,2.55,0
914,-5.8,2.45,0
915,0.13,-12.47,0
916,-9.08,-6.86,1
917,-3.11,-1.42,1
918,-9.04,16.43,0
919,-1.1,5.72,1
920,-3.31,1.81,0
921,3.76,-7.76,1
922,-3.92,2.25,0
923,-8.4,3.21,1
924,5.21,10.19,1
925,-3.13,2.02,0
926,4.84,12.12,1
927,3.64,6.67,0
928,-1.79,12.21,1
929,-3.59,2.3,0
930,-2.84,1.94,0
931,-7.54,-0.99,1
932,-3.51,2.33,0
933,2.34,7.62,0
934,-10.65,3.61,0
935,7.42,13.15,0
936,-3.38,9.33,0
937,-3.2,2.19,0
938,8.02,-7.48,0
939,8.15,11.03,0
940,-3.96,1.29,0
941,-3.42,-0.71,1
942,-10.57,17.77,0
943,-8.06,10.99,1
944,-0.42,5.59,1
945,1.28,4.09,1
946,-14.4,-0.93,1
947,-2.87,3.07,0
948,5.36,12.63,1
949,-3.83,2.56,0
950,-22.09,5.32,1
951,-1.91,0.89,0
952,-0.9,5.59,1
953,-6.11,-1.61,1
954,-2.79,2.58,0
955,-3.54,1.8,0
956,-1.9,10.16,0
957,-4.49,0.93,0
958,-18.27,-1.22,0
959,-5.52,0.75,1
960,-6.82,-2.06,1
961,-3.16,2.26,0
962,-6.06,-3.58,0
963,3.61,14.09,1
964,-3.74,-3.86,1
965,-3.5,1.39,0
966,4.05,-2.35,0
967,-1.69,14.28,1
968,-10.2,1.22,0
969,-2.54,-6.5,0
970,-9.2,-1.18,0
971,-3.19,4.68,1
972,-7.61,0.46,1
973,-11.18,8.96,0
974,-20.84,-3.34,1
975,-5.78,-14.55,0
976,-6.44,0.51,1
977,-6.19,-1.13,1
978,5.8,10.74,1
979,-0.69,20.59,1
980,-22.52,0.62,1
981,-2.19,3.2,1
982,-6.81,-7.8,1
983,-2.59,2.08,0
984,-2.24,2.82,0
985,3.19,4.19,0
986,-5.48,23.38,1
987,0.38,4.72,1
988,-3.1,1.83,0
989,-5.19,-8.37,1
990,-3.58,2.21,0
991,-2.9,2.4,0
992,3.15,-6.58,1
993,0.32,4.91,1
994,-5.13,-0.13,1
995,-2.98,2.01,0
996,15.9,9.43,1
997,-5.47,-7.6,0
998,-7.04,0.63,1
999,-19.32,-2.63,0
1000,-14.35,8.55,1
1001,-2.61,2.24,0
1002,-9.11,7.92,0
1003,-4.17,7.12,1
1004,13.61,-7.6,1
1005,2.19,7.37,0
1006,-6.05,4.85,1
1007,1.03,1.22,1
1008,-5.84,-9.1,1
1009,-1.57,-1.44,1
1010,8.24,-0.4,1
1011,0.99,13.53,1
1012,-10.75,12.69,1
1013,-4.18,6.42,1
1014,-6.5,0.9,1
1015,0.67,5.22,1
1016,-2.33,2.85,0
1017,6.61,-9.81,0
1018,-2.71,13.8,1
1019,-4.86,1.88,0
1020,-6.78,-11.16,1
1021,-2.87,3.6,0
1022,-4.29,14.23,1
1023,-2.91,1.95,0
1024,-2.88,2.08,0
1025,-3.37,-7.14,0
1026,-0.82,-9.5,1
1027,-0.68,-8.14,1
1028,-7.57,8.96,0
1029,8.72,-9.32,0
1030,10.56,-13.16,1
1031,-8.51,-5.45,0
1032,8.3,-8.48,0
1033,-3.21,2.24,0
1034,-10.89,-11.02,0
1035,-3.2,2.13,0
1036,-3.45,2.6,0
1037,-3.27,0.32,0
1038,4.06,3.04,0
1039,-3.57,3.31,0
1040,-6.4,1.19,1
1041,-5.42,-1.46,1
1042,-19.01,14.11,1
1043,-10.28,11.47,1
1044,-13.31,-9.96,0
1045,-12.12,10.96,1
1046,0.67,3.64,1
1047,-6.47,16.91,0
1048,-4.44,0.79,0
1049,-7.08,1.8,1
1050,-3.61,-1.25,1
1051,-2.89,2.7,0
1052,-4.96,6.01,1
1053,-10.76,0.0,0
1054,-3.24,2.09,0
1055,-6.5,2.3,1
1056,0.74,3.92,1
1057,-4.07,2.08,0
1058,-1.47,2.22,0
1059,-3.86,2.94,0
1060,-4.36,-1.93,1
1061,-3.03,1.69,0
1062,-1.31,-1.87,1
1063,0.38,2.74,1
1064,-5.16,0.89,1
